,Comments,Origin
39,"México y Bolivia, aliados comerciales en explotación y producción de litio.

Los compromisos acordados se dieron luego de la visita oficial a México del presidente de Bolivia, Luis Alberto Arce Catacora, el 24 de marzo de 2021.

En México recién se aprobó una propuesta del presidente Andrés Manuel López Obrador que reforma la Ley Minera y, entre otras cosas, reserva al Estado la exploración y explotación del litio, un mineral estratégico para la fabricación de baterías eléctricas, entre otros productos. Sin embargo, el país cuenta con una “Carta de intención en materia de cooperación"" con Bolivia sobre este mineral.

Fue en julio de 2021 cuando el Secretario de Relaciones Exteriores (SRE), Marcelo Luís Ebrad Casaubon y el ministro de Relaciones Exteriores del Estado Plurinacional de Bolivia, Rogelio Mayta suscribieron la “Carta de intención en materia de cooperación entre el gobierno de los Estados Unidos Mexicanos y el gobierno del Estado Plurinacional de Bolivia”.

Se busca ""fortalecer el diálogo productivo que permita diseñar proyectos de cooperación internacional para el desarrollo en materia de explotación, producción y procesamiento de litio, en beneficio de ambos pueblos"", refiere.

De acuerdo con el documento, México y Bolivia cuentan con importantes reservas de litio a nivel mundial, cuya sinergia podría promover las condiciones para el desarrollo integral, con el propósito de generar empleos y garantizar a la población el bienestar y su participación e incorporación en el desarrollo económico de ambos países.

Los compromisos presidenciales acordados, se dieron luego de la visita oficial a México del presidente de Bolivia, Luis Alberto Arce Catacora, el 24 de marzo de 2021, específicamente
, debido al interés de explorar áreas de complementaried
ad en cadenas productivas, así como promover proyectos de cooperación en sectores de interés como el litio, en beneficio de ambas naciones.

La Carta de intención firmada entre México y Bolivia cuenta con cinco puntos:

1. Establecer un diálogo productivo que permita ejecutar proyectos decooperación internacional para el desarrollo en materia de explotación, producción y procesamiento de litio.

2. A través de las respectivas Cancillerías, ambos gobiernos designarán un equipo técnico para explorar áreas de interés en materia de cooperación en materia de litio.

3. Impulsar las acciones ejecutivas que correspondan para el desarrollo y consecución de los proyectos que puedan derivarse de la presente Carta de Intención, promoviendo los principios de las relaciones Sur-Sur que caracterizan la cooperación México - Bolivia.

4. Conformar un Comité Científico, que fortalezca las capacidades de profesionales y especialistas.

5. Para coordinar las acciones que se desarrollen con base en la presente Carta de intención, los firmantes designaron a instancias reponsables en ambos países. En México, a la Agencia Mexicana de Cooperación Internacional para el Desarrollo (AMEXCID).

La iniciativa presidencial de reformas a la Ley Minera incluye crear una empresa para exploración y explotación del litio, así como la prohibición de dar nuevas concesiones del metal, cuyas mayores reservas se encuentran en Chile, Australia, Argentina, Bolivia y China, de acuerdo a datos del Servicio Geológico de Estados Unidos (USGS, por sus siglas en inglés).",Universal
40,"Y eso que, ya es de la 4 t🤷🏻‍♂️",Universal
41,"Tengo cincuenta hectáreas de parcela, es pedregal, díganle al tartufo fracasado qué le puedo vender para que obtenga el litio, pero que la saqué el,porque acuérdense que dijo que no se necesitaba ingenieros para extraer petróleo que no era una ciencia Para hacer una carretera, un puente, el tartufo está peleado con la tecnoloa,, lo reto a que extraiga el litio.",Universal
42,"Perfecto AMLO. Hay qué racionarlo para que las nuevas generaciones lo disfruten. Si meten mano los empresarios, en seis meses se lo saquean. Bien AMLO.",Universal
43,"Si no fuera un tema importante para los intereses de extranjeros, no estuvieran inge y inge todos los días con el litio.",Universal
44,"Es lo malo irse de pinta en la clase de matemáticas.

5 millones de toneladas a 60 mil dólares la tonelada son 300 mil millones de dólares, no 300 millones.",Universal
45,"Pues alguien le endulzo el oido al presidentito o bien como el dice ""tiene otros datos"", también pudo ser una simple jugada para no lucir tan derrotado ante la negativa imbatible de la oposición ante su reforma eléctrica.",Universal
46,Díganle eso a los extranjero porque están con las máquinas listas para extraer ese kilo.,Universal
47,"Un comentario muy usado, cuando se quiere rematar las propiedades de la Nacion .
Recuerden a peñita #LA GALLINA DE LOS HUEVOS DE ORO SE AGOTO""",Universal
48,OTRA INVESTIGACIÓN DE MAS DE 20 AÑOS DICE LO CONTRARIO.,Universal
49,"Gracias por hacérnoslo saber ""academico"" entonces vamos a otorgarles todas las concesiones a los extranjeros que vengan a explotar nuestros recursos.",Universal
50,Así como decía Lord Peñita de la gallina de los huevos de oro al referirse al Petróleo...y resulta que hoy se adquirió una refinería y se está construyendo otra... lastima Universal no eres fuente confiable,Universal
51,"QUE NO DIRÁN USTEDES, EL UNIVERSAL, UN INTERESADO QUE NUNCA ACABE LA CORRUPCIÓN. 🤣🤣🤣 🌪️🦴🦴🦴😂",Universal
52,"A estos tipos del universal ni la aritmética básica se les da. 5 millones de toneladas potenciales x 60 mil dlls la tonelada NO son 300 millones de dlls.
Son 300 mil millones de dlls!!! Algo muy pero muy distinto. Hasta para tirarle al gobierno lo hacen mal",Universal
53,Como el petroleo y su empresa en quiebra que sale carisma pero es nuestra manejada por una bola de inútiles,Universal
54,"Incosteable????
? Haaa chingaaaaa!!!? Es el mineral del futuro y el futuro ya nos alcanzo",Universal
55,Será muy ACADÉMICO pero el LITIO es de México y ningún Rumor nos va a quitar el gusto de poseerlo y de explotarlo. Que no hay capacidad tegnologica? es lo de menos aprenderemos!! De aquí en delante mucho cuidado con los RECURSOS NATURALES de MÉXICO será uno de los pistones que empuje la ECONÓMIA NACIONAL ADELANTE MÉXICO 🥱,Universal
56,Que casualidad y cuando estaba el prian todo era felicidad por las toneladas que sacaban,Universal
57,"Maromas de un gobierno que o puede resolver los tres principales problemas del país, Salud, Seguridad e inflación y usan distracciones como aeropuertos que no funcionan, reformas electorales que nadie pidió y declarar de todos los mexicanos algo que ya estaba declarando así",Universal
58,"Muy bien la información del químico, podría el universal ahora pedir información al instituto de geología de la UNAM",Universal
59,"Los chairos prefieren que no se compren medicinas con tal de que se invierta en el litio, para no hacer quedar en ridículo a su amo...¡Háznos Señor, buenos asnos!",Universal
60,"Es la opinión de un especialista, pero si sale en El Universal hay que dudar de la veracidad.
Si el dato sobre las reservas era erróneo, que se restablezcan los criterios en foros de especialistas y que sea la comunidad científica la que determine.",Universal
61,Tan bajas que ya dos enormes empresas extranjeras ya están trabajando en exploración y tienen concesiones... ¿Ellos también se imaginaron el litio?,Universal
62,"Y será cierto lo que dice este investigador.
Mejor nos esperamos a que lo exploren los ing. Que si saben.
Estos investigadores pagados y de escritorio tienen otros datos.
Y si no hay ningún kilo se lo vederemos a OTROS PAISES., como quieren ustedes. Los medios paleros.
SALUDOS.",Universal
63,Pues ahí dejenlas. Si no fuera negocio no lo hubieran peleado cómo perros los traidores a la patria.,Universal
64,"Asi como no y entonces por qué están interesadas las empresas privadas y extranjeras, ya estan como con el petroleo q ya no hay q invertir en energías sucias y entonces por qué hay tanto político dueño de plataformas, a quién creen q engañan",Universal
65,"Pero los especialistas argumentan que hay una fortuna y que es de lo mexicanos lo que siempre ha sido, 3l tiempo dará la razón a los expertos y no a los que se dejan llevar por ideas, si salio mal a quien le hecharan la culpa , a los brujos",Universal
66,"Si hay litio, cuánto? , no sé sabe , nadie lo a podido confirmar, han hecho estimaciones nada más, como puede haber poco o puede haber mucho,de acuerdo a la densidad encontrada en superficie si hay pero muy poco no se han hecho las pruebas mineras nunca ,solo de superficie , solo que la extracción por el tipo de litio que hay en México es muy caro sin la tecnología adecuada , así que está pasando exactamente igual que cuando se estatizo el uranio, desde López Portillo no se ha producido ni un gramo",Universal
67,Hace años leí en una revista de distribución nacional sobre una persona de SLP que se volvió millonario por la extracción de litio en sus propiedades.,Universal
68,"Bueno, supongo que todos los que lo ambicionan son endexos ¿verdad?",Universal
69,Que se lo dejen a los empresarios y van a ver qué de inmediato encuentran yacimientos como por arte de magia. Acuérdense cuándo peña nieto dijo que se había muerto la gallina de los huevos de oro (PEMEX).,Universal
70,"El Pasquin subiendo alimento para sus mascotas, mini lectores, para que se exiten, con tan perniciosas vulgaridades.",Universal
71,"No digas tonterías mary jane, si fuera incosteable no tuviéramos empresas Chinas y Canadienses aferradas al Litio en nuestro país jajaja",Universal
72,"Si lo dice el universal! Bravo jajajajajjajaja
j",Universal
73,Pero los chairos dicen: El litio es nuestro !!,Universal
74,Y quienes son los especialistas los prianistad o los perredistas digo por qué son los que están en contra de todo lo que el presidente propone nada más porque no salió de uno de sus partidos,Universal
75,"Jajajaja entonces por qué China, Canadá, Usa se mueren por entrar a la extracción de litio en Mexico",Universal
76,Lo importante es que el Litio es nuestro.,Universal
77,"Ese comentario se sustenta con un estudio geológico, que no es económico, además que requiere de un grupo de especialistas, es de suponer que ya lo realizó o participó en dicho estudio",Universal
78,Eso ya se sabe y si no lo sabes por eso apoyas la 4T .....,Universal
79,Así afirmaban con el petroleo que no lo había ya pero los expresidentes desde 2 a más plataforma se hicieron con la nueva reforma se las adueñaron y tratan de decir lo mismo que no hay litio.,Universal
80,"Pónganlo a estudiar, por que otros investigadores , realmente de NUESTRA CASA MAXIMA DE ESTUDIOS, OPINAN DIFERENTE.",Universal
81,Así decían. Del petróleo!!! Que ya no había !!!,Universal
82,"Si, seguro...
También el petróleo estaba agotado.",Universal
83,No es facil. Hubo mucha alegria.,Universal
84,entonces. por qué las potencias extranjeras lo quieren y los traidores a la patria se oponían a la nacionalizasion,Universal
85,Y entonces por qué el enojo???,Universal
86,Que mentira tan más grande aprende a escribir mejor universal,Universal
87,"en un futuro próximo: ""ganamos 1000MDD con el litio!!!"" y cuanto costó extraerlo? ""2000MDD"" 🤣",Universal
88,"Siempre inventando estupidezes, es un ""especialista orgánico"" Si hubiesen dicho reserva de hierro, dirían lo mismo u oro o plata, ya supérenlo conservadores.",Universal
89,POBRES los paleros que se creen todas las mentiras del. Peje y pensar qué mucha gente son estudiadas con conocimiento en politica le ccreen pobres pobres y mas pobres,Universal
90,"El universal ya no se le da credibilidad,as
í dijeron de “ la gallina de los huevos de oro”y estamos llenos de petróleo,así pasó con el azufre,un año antes del dijeron que eran los mayores depósitos de azufre de Latinoamérica y al siguiente año,fuum desapareció.aho
ra el
Litio ,ni quien les crea.",Universal
91,"Buena la hizo nuestro serenisimo Sr. Presidentazo, con esa super ley fast trak q saco para declararlo como bien del pueblo bueno y sabio",Universal
92,"Si López dice que no es mucha ciencia extraer recursos, solo se hace un hoyo y se saca. Universal y científicos están con los conservadores de la mafia del poder",Universal
93,"Del ""Se agoto la gallina de los huevos de oro"" al ""Es que no se puede extraer"" ponen cualquier excusa para rematar recursos al extranjero",Universal
94,El super pejeeeee lo resolverá 🤭🤭🤭🤭🤭😂😂😂😂😂,Universal
95,"Será el sereno, un kilo o un millón de toneladas el litio es y debe ser de Mexico",Universal
96,Cuales son los estudios validados si hay o no reservas de Litio? La desinformacion es el deporte favorito de Mexico,Universal
97,NO DÁ UNA. SI COMPRA UN CIRCO LE CRECEN LOS ENANOS😂😂😂😂,Universal
98,Genial. Gracias por avisarnos. De todos modos no tendrán un gramo los extranjeros,Universal
99,"Entonces mi pregunta es porque los extranjeros quieren el litio de México, si no hay? Nos quieren ver la p en la frente",Universal
100,El universal es parte de los traidores a la patria. Que se vallan por todo el tobogán de la GAVER los OGTS pandilla de lacras,Universal
101,"Solo paso a recordarles que la anterior Secretaria de Economia del Propio Lopez Obrador la Maestra Graciela Márquez Colin en Octubre del 2020 tuvo una comparecencia ante el senado y ahi cito textual les dijo eso a los senadores ...

“MÉXICO NO TIENE EL YACIMIENTO MÁS GRANDE DE LITIO, MÉXICO NO PRODUCE LITIO, NO HAY UN SOLO KILOGRAMO QUE SE PRODUZCA”.

Aca esta la comparecencia de la entonces secretaria de economia y al 1:50:39 es cuando lo afirma

https://
youtu.be/
Df8H3rqk2n4?t=66
29",Universal
102,"Nombre !! Nombre del académico!! Por que solo decir un Academico no es nada , tiene que decir quien y con bases sustentables exponer , porque dicen semejante tontería .",Universal
103,"Fuente de la Información: ""ESPECIALISTAS""
...👍😀",Universal
104,Que raro si no fuese negocio por qué tanto interés en inversión extranjera,Universal
105,"Van a decir que ya no hay , cómo cuando peña y borolas dijo que ya se había terminado el petróleo",Universal
106,Tres años y meses de construir castillos de naipes. Es lo único que han hecho.,Universal
107,"Si fuera verdad, no estarían tan preocupados.",Universal
108,"No importa de cuánto litio disponga el país. El estado no tiene la capacidad de explotarlo, ni de producir con esa materia prima",Universal
109,"Pero va hacer un entrada de Divisas Nacionales al aparato burocratico selecto de la ,4ta Degeneracion",Universal
110,"Entonces porque tanto escándalo del prian, si no es costeable su extracción",Universal
111,"Alguien le podría decir a lopez, que los verdaderos extractores de litio ya no lo buscan en Minas si no en el mar! Y quiere crear una paraestatal si no saben del negocio! 😂😂😂",Universal
112,*Reserva* tanto ustedes como sus lectores bien analfabetas 😐,Universal
113,Y eso qué!! Logramos que nadie se enriquezca con el litio que a nadie le sirve en el subsuelo!!,Universal
114,Nacionalizó lo nacional y no ha nacionalizado lo que se privatizó como los posos petróleos de las reservas probadas o las playas litorales de México y se compara con Cárdenas que expropió no para obtener un barril de petróleo🤭,Universal
115,"Yo en mi ignorancia, pensé que era un líquido. Y lo de que es poco, disperso y que de extracción es difícil y caro, ya lo sabía.",Universal
116,"Y, ¿Entonces por qué las empresas lloran y lloran que no es justo dejarlas fuera del negocio de Litio?",Universal
117,"La tonelada esta a muy buen precio, y segurp este tipo es de esos chayoteros pagados por eñ prianrd y x!",Universal
118,"Ah pero que importa, YA SOMOS DUEÑOS DE EL!!!!!",Universal
119,"Desde cuándo se lo llevaron.vivimo
s 20 años atrás de estados Unidos",Universal
120,"Es mejor el GRAFENO que el LITIO.
Es 3 veces más duradera la Batería de GRAFENO que una de LITIO.",Universal
121,"No pues este ""académico"" es un traidor a la patria.... como se atreve a contradecir a su majestad anlo ?",Universal
122,"En opinión de: LOS MISMOS QUE NOS DECÍAN QUE LA GALLINA DE LOS HUEVOS DE ORO SE HABÍA TERMINADO

De quienes querían nos tragaramos el cuento para quedarse con el petroleo ahora ambicionan el litio

Lo que es la amboción desmedida y enerma para robarse nuestros recursos apuestan a la desinformacion cómplice de estos medios quienes como Loretiti se llevan su tajada proveniente de nuestros impuestos

Y por supuesto gracias a su labor de decir verdades a medias y manipulación que durante años jan engañado a su publico, estos medios siguen apostando a la manipulación y a que des estimar la inteligencia de la audiencia para wue les crean todo

Por esa razón están en quiebra

Prensa comprada y traidora",Universal
123,"Que bueno no saquen ni un gramo del oro blanco del LITIO, las empresas privadas Transnacionales
, mejor que México con su empresa paraestatal que saqué todo las Miles o Millones de Toneladas que requiera el país..!!!",Universal
124,"Pseudo intelectuales prostituyendo su opinión exponiéndose a ser expuestos y quedar en ridículo, y cuando eso pase se harán las víctimas y se dirán atacados, de risa la oposición tan miserable y mediocre que tenemos en México, que vergüenza!",Universal
125,"O sea que se murió la gallina de los huevos de oro antes de nacer, parafraseando al clásico... (E.P.N.) Y si luego resucita, como en el caso de Pemex, ¿que van a decir?",Universal
126,Pan y circo!!,Universal
127,"Siempre el tesoro se oculta, donde je peña Nieto que la gallina de los huevos de oro se había acabado y, pregunten quienes la compraron. Pregunta , a Gamboa patrón, fox , calderon y demás clica favorecida.",Universal
128,Tiene otros datos!!!,Universal
129,"Si hoy siembran un TAMARINDO y hoy empiezan las investigaciones
para la exploración, con miras a explotación de LITIO… Primero se cosechan tamarindos, antes de que obtengan un gramo de litio.
NOTA: Un tamarindo que se siembra a partir de la semilla necesita de 10 o 12 años para ser cosechada la producción de vainas",Universal
130,"En la UNAM, lastimosamente hay derechairos y paniaguados disfrazados de democráticos y críticos. Que cosas no",Universal
131,"Según esos expertos otra gallina de guebos de oro que se acaba, hay que regalarla a los extranjeros",Universal
132,"Ahí están las consecuencias de estar gobernados por puros analfabetas, es el sello de la 4ta deformación, ya ven lo que dice su presidente "" que ciencia o conocimiento se necesita para sacar petróleo nada más hay que hacer un abujero y ya"" y otra de sus máximas "" para que se necesitan ingenieros o arquitectos""",Universal
133,Ya salieron los expertos que no conocen ni el litio y porque se lo pelean los extranjeros?,Universal
134,Tan incosteable que muchos países la quieren...,Universal
135,"Pies avisa a los privados internacionales
que ya anuncian demandas y gastos publicitarios para poder extraer y comercializar el litio.
He jejeje, jajajajaja",Universal
136,Lo dice un investigador y académico de Ciencias Químicas de la UNAM y no es cierto…. Lo refuta el chairo con abundantes faltas de ortografía…. El PRIAN y los chinos se lo robaron…. Sehh….,Universal
137,"Existe una gran deficiencia de padres... Ojo a todos los papás.. Algo está fallando. Comunicación, atención... Corrió. Con suerte y llego sana y salva con su familia muchas no lo hacen.",Universal
138,"La sociedad cada dia peor, juzgando todo
Si se salio por su ""voluntad "" la culpa es de ella (eso opina la gente) no hagamos juicios antes de tiempo, otros juzgan a los padres, recuerden actualmente los jovenes demandan mas atención y cuidado, el hombre que enamora a una niña de 13 es realmente el responsable, ahora los padres trabajan ambos para poder sostener a los hijos y es una pena que ese tiempo sola otros aprovechen para enamorar niñas, no justifico solo no condeno a los padres, que seguramente estaban angustiados con estos tiempos de violencia que se viven",Universal
139,México es el país en donde se juzga a los padres de la víctima e incluso a la misma víctima en lugar de juzgar al propio agresor.,Universal
140,"Pero si tiene 13 años! Y el novio 24!! que voluntario ni que voluntario! Aunque ella diga que si, pues no se debe! Es rapto y violacion.",Universal
141,Amenazas de vecinos .. malditos sean y el tipo. ala cárcel debe de ir,Universal
142,"LO MALO FUE QUE LAS AUTORIDADES INEPTAS DEJARON LIBRES A LOS VECINOS QUE LA EXTORSIONARON, LOS QUE LA MANIPULARON PARA SALIRSE E IRSE CON EL TIPO, Y PARA CUÁNDO APRESARÁN AL PEDÓFILO?",Universal
143,"El problema es que tipo de educación se da para que la niña quiera irse, o solo un arrebato de adolescentes, es de analizar está situación porque existen muchos casos así y son tomados a la ligera por las autoridades sin saber el trasfondo del asunto",Universal
144,Aquí nadie lee la nota ... la señora esta diciendo que encontró cartas de la vecina amenazando ala niña y que ya entrego eso ala policía y no hicieron nada.... por eso estamos como estamos por que no hay leyes ... y muchos critican en vez de ayudar,Universal
145,Y si la vecina se la entregó al fulano y cuando vio la movilización de búsqueda le dijo que mejor la devolviera. Ahora la niña podría estar amenazada y por eso debe decir que era su novio y se fue por voluntad propia. 🤔🧐,Universal
146,"Pues claro que fue obligada! Una niña de 13 años aunque sea muy ""precoz o ""x"" cosa"" no tiene la capacidad mental de razonar como el adulto que es su ""pareja""(🙄), el soborno, las mentiras ""piadosas"", juegos mentales y psicológicos, entre otras cosas son las herramientas de estos sujetos, el sujeto debe ser juzgado por ley. Por más ""experiencia"" que se tenga a esa edad no logran asimilar la situación.",Universal
147,Bueno pues felicidades a los padres de la precoz niña y próximos abuelos,Universal
148,"Yo conocí a una señora muy trabajadora con tres hijos una niña mayor como de 10 y una mediana como de 6 y el niño menos de un año, la hija más grande nunca estaba con ella en su trabajo la señora vendía pollos rostizados siempre está su hija mediana con ella porque cuidaba a su hermano pasaron unos años y como nunca estaba su hija con ella le pregunté por su hija mayor y me dijo ya se fue con un hombre mayor que ella me dijo que estaba muy enamorada y se fue ya no quiso seguir estudiando le pregunté cuántos años tiene su hija me dijo estaba en la secundaria!",Universal
149,"Qué estupidez, es una menor de edad. Así ella hubiera dicho que “si”, es un delito y punto!
Cómo se le ocurre al enfermo maldito de 24, mantener una relación sentimental con una menor de 13 años. 😡🤬😤",Universal
150,"Empecemos a ser adultos responsables. Es increíble cómo ese sujeto tuvo el descaro de extraer a una niña de su casa. Haya sido la situación como haya sido, un adulto responsable jamás haría que un infante abandone su hogar, porque eso solo significaría que la persona puede ser un posible pederasta o que incluso puede tener vínculos con pederastas. Espero encuentren a ese hombre, y si está ligada también su pareja sentimental, que a ambos los encarcelen. Es necesario parar este incremento de delitos hacia la infancia en México, y eso se va a lograr con adultos responsables y sanos que no lastimen a otro infante más.",Universal
151,"Aunque fuera voluntariamente
, es menor de edad. Asi que cuando menos vá al bote por violación",Universal
152,Y ya le preguntan por qué se fue. Y puso a las autoridades a buscarla. Nuestras ella andaba de Fiesta. Por personas como ella que se van de fiesta durante días. Aveces las autoridades no hace nada pero por culpa de las personas como ella. Ojalá y le dieran un buen castigo que no lo olvide. Eso y más se merece.,Universal
153,"La niña de 13 años se presenta con su pareja sentimental de 24. México hermoso, México mágico, donde la gente se le va encima a los padres de una víctima de pederastía y al perpetrador ni lo pelan. Chulos comentarios se pueden leer en este post.",Universal
154,Ahora me tela a un internado o entiende o lis papas le tienen miedo alis hijos y hacen su santa voluntad falta comunicación dejen el cell a ten no había cell y había más atención alos hijos,Universal
155,"Es ahí donde debería de aplicarse la ley, eso es una violacion a una niña... porque no los castran a los violadores?",Universal
156,"Aquí se puede configurar omisión de cuidados, por lo que los padres de Jimena deben recibir castigo. Y así con otros padres que justifican darle manga ancha a sus aún chiquillos con el asunto del tiempo de encierro por la pandemia.",Universal
157,Deben proceder contra el hombre!!! Ella es menor de edad!,Universal
158,"Hablando del 30 de abril y los derechos de los nin@s, se debe proceder de forma energica y ejemplar en contra de ese pederasta y garantizar que cualquier hombre que atente contra la integridad de un o una menor sea procesado de forma ejemplar.",Universal
159,"La mamá muestra cómo prueba una carta de una pareja de vecinos (encontrada en las pertenencias de la niña) , qué sí no se sale de su casa le va a ir mal.
Esto no es de una niña enamorada de un muchacho de 20.",Universal
160,"Más lectura de comprensión chavos, lean la pvta nota",Universal
161,Ya ven como algunas se van con supeor es nada deberían acusarlo de estuptro y,Universal
162,Pues a la cárcel el fulano por llevarse a una menor de edad,Universal
163,Cual es el corredor de la muerte ?,Universal
164,"Muy precoces las niñas, y los tipejos muy listos!!",Universal
165,Joven??? ERA UNA NIÑA 😭,Universal
166,A nadie le importa que un pedofilo este libre??,Universal
167,Que investiguen al fulanooooo!,Universal
168,Da mucho coraje debería casar a esos hombres y castigarlo como ellos tamvien que sufran,Universal
169,"Aquí no importa si fue por su voluntad o no, un hombre mayor de edad se llevó a una menor y eso es delito",Universal
170,Gracias a Dios apareció bien,Universal
171,"😳 que bueno que está viva, pero qué rayos 🤯",Universal
172,Ojala pronto aparesca,Universal
173,"X eso les pasa lo que les pasa , los padres deben de tener mano dura",Universal
174,Hay no es enserio? Que hace una nena con un tipo ? X Dios,Universal
175,Donde es eso?? 😳😳😳,Universal
176,"De 13 años viviendo con alguien de 24....!??
Entonces... Osea como....!???!
De quien es la culpa... De ella o del sujeto...!?!
😒😪",Universal
177,Que le componga un corrido edén muñoz y lo feliciten como con la otra chica.,Universal
178,Hay que investigar bien,Universal
179,¿Y que espera la policía para investigar a la pareja de vecinos violadores?,Universal
180,"La niña no tiene culpa alguna, mejor que estuviera con su pareja a que estuviera en una sanja sin vida, los que se decepcionaron por qué no le haya pasado algo son unas basuras.
Los que la critican mejor critiquen su propia vida y dejen de meterse en lo que no les importa 🙌🏻❤️",Universal
181,"Top fan
Karla Marmolejo",Universal
182,🙏,Universal
183,🙏,Universal
184,🙏,Universal
185,..,Universal
186,Me vale verga si me tachan de loca y ridícula pero si mi hija de 13 se va con uno de 20 y pico lo hecho preso por VIOLACION una niña a esa edad no sabe diferenciar amor ni nada y el tener relaciones con una menor de edad está penado por la ley los hombres mayores las manipulan SIEMPRE,Universal
187,"No se puede emancipar hasta no contar con la edad para hacerlo, por ser menor de edad. El hombre puede ser acusado de estupro.",Universal
188,"No creo la versión de la niña ,yo creo que si se la llevaron y la soltaran por la presión que se hizo",Universal
189,"Chamaca babosa. No justifico, pero por lo mismo las autoridades no se movilizan rápido. Para cachetearla !!!!!!!",Universal
190,"Mucha fortaleza, abrazo fuerte y acá andamos para lo que necesites. Siempre cariño y admiración. A darle que no viene fácil, pero saldrás victorioso.

https://
fb.watch/
cJjayCHw0p/",Universal
191,"Que Dios le de la sabiduría y guíe las manos de los doctores para que tenga éxito la operación, y a ti de la fortaleza para soportar lo que viene y sigas adelante.",Universal
192,"Nuestras oraciones para Juan Pablo Adame y todos los que están pasando por una situación similar.
Que Jesús nuestro señor médico divino guíe las manos de los médicos que lo van a operar y que se haga la voluntad de Dios. 🙏",Universal
193,"La misericordia de Dios es infinita, seguro saldrá bien de la cirugía y exitoso del tratamiento con salud absoluta 🙏",Universal
194,Que Dios lo colme de bendiciones y sane muy pronto.,Universal
195,Solo Pide a Jesús el médico de todos los que creemos en el. No suelte tú mano. El siempre está muy cerca de la gente que lo recibe en su Corazón. Te lo digo por experiencia propia Dios contigo 🙏❤️,Universal
196,"Que Dios lo acompañe durante su cirugía y que guíe a los Doctores para que todo salga muy bien y quede libre de esta enfermedad, así sea 🙏🙏🙏",Universal
197,Todo va a salir bien....... México te necesita ánimo..!!!!!!,Universal
198,"Dios contigo , muchas bendiciones claro que aguantaras la operación, y vencerás el cáncer con el favor de Dios",Universal
199,"Confíe en Dios Todopoderoso, de el depende nuestra vida y salud!!!!",Universal
200,Díos estará hay para dirigir las manos de los doctores ten fe primero Dios todo saldrá bien,Universal
201,🙏🙏 Primero Dios todo va a salir bien. Mucha Fe! Lo acompaño en mis oraciones,Universal
202,Dios lo ilumine en su operación y guíe a los Doctores y todo salga bien,Universal
