,Comments,Origin
115,Que bien ésa Istoria sólo Pasa en el PAÍS DE KAKOLANDIA Y TODOS VIVIERON FELICES Y CONTENTOS MURIENDOCE DÉ AMBRE Y DE CÁNCER,Milenio
116,Felicidades sr presidente y felicidades a su esposa por preocuparse de la lectura para los niños no como los burros que lo critican,Milenio
117,En los tiempos refresco rey paga no es culpa del presidente todo lo que esta mal es todo de la corrupcion vende patrias pero uno debe de cambiar para cambiar al mundo viva amlo,Milenio
118,"Si saben leer, qué novedad😆😆😆😆😁😁😁😁😁",Milenio
119,"Nada les gusta, si quieren vivir en un mejor país, trabajen, sean honrados, estudien, enséñenles buenos valores a sus hijos con el ejemplo, no se atengan a que los políticos hagan o les den todo, México ha tenido pésimos gobernantes y eso no se niega, pero también la gente no pone de su parte para cambiar las cosas...",Milenio
120,Muchas felicidades a nuestro Sr Presidente y a su apreciable Esposa,Milenio
121,Gracias Sr.Presidente x sus cariños,Milenio
122,Foto del día del niño de morena 😂😂😂😂,Milenio
123,Eres un herodes amlo odias a los niños,Milenio
124,El niño más feliz de México,Milenio
125,Y les dieron atole y vivieron en la alberca felices por siempre😁🤣,Milenio
126,Debió de leer 📖.. El Peor Presidente De México 🇲🇽.. Basado en hechos reales de amlo.. Y la 4T.. 😅,Milenio
127,Viva amlo!! (es broma). 🤭🤭,Milenio
128,Yo si les doy las Gracias por tener personas como mi presidente y su sra esposa,Milenio
129,"Respeto a nuestro Sr
Presidente",Milenio
130,"Ajá, ""todos vivieron felices"", eso sólo pasa en el mundo de chocolate, del rey que vive en su palacio acompañado de su reina. Ternuritas!",Milenio
131,Ese cuento que leyó....es la vida de lili tellez...🤮,Milenio
132,Título inspirado en la zopilota,Milenio
133,Sin palabras.,Milenio
134,Jejeje. Una obra literaria que premió el régimen priísta. Jijiji. Ese ANLO.,Milenio
135,El cuento de terror de la 4T,Milenio
136,Y su mamá también del dueño de Milenium.,Milenio
137,"La pareja Perfecta,!! SALUDOS,Y cuidense De las ""TEPOSCATAS,"" No valla A manchar SU INVESTIDURA,!!",Milenio
138,Es una burla,Milenio
139,Muy bien...,Milenio
140,"Ricardo Hernández , ese fue Duarte, era Gobernador de Veracruz.",Milenio
141,Vean la cara de emoción que tiene la ñora de contarnos su vida en un cuento “ la peor señora del mundo” no se pierdan la segunda parte de esta historia el 10 de mayo con otro cuento pero del señor “un tipo sin madre”,Milenio
142,"Es la historia de su esposa sin duda alguna, les quitó el medicamento a los niñ@s de México, ahora salen con eso 🤦‍♀️ no tienen vergüenza 🤬🤬🤬",Milenio
143,Chulada de pareja el amor se siente a flor de piel #amlo #beatriz,Milenio
144,No todos vivieron felices! Que les pregunten a los padres de niños que han fallecido por falta de medicamentos o también familiares adultos,Milenio
145,"¿Y de los niños con cáncer, cuándo hablamos?",Milenio
146,El cuento de los niños con cáncer que murieron esperando sus tratamietos,Milenio
147,"Vergüenza le debería dar, cuántos niños están muriendo por falta de medicamentos para tratar el cáncer.",Milenio
148,Mejor hubieran contado el otro cuento: el de un gobierno y su presidente que desde hace más de tres años le prometieron medicinas y tratamientos a los niños enfermos del país..,Milenio
149,A quien se refería? Será que ya terminaron de leer el cuento? O esperamos hasta el lunes en la mañanera?,Milenio
150,"Como dice el monje loco ""Fue Horrible""",Milenio
151,"El cuento la peor Sra. Del Mundo, va dedicada a alguien.
Diran lo mismo los niños con Cáncer, hubiera ido donde estan ellos que lo necesitan tanto.",Milenio
152,"Que el wey que les ha negado quimios a los niños con cáncer, los felicité el día del niño, es el equivalente a qué les mande saludos el padre maciel",Milenio
153,"Con su reforma educativa quiere que los niños rebuznen, en fin la hipocresía",Milenio
154,"Q horror de historia, nada creíble es una porqueria.",Milenio
155,"ASI NO PRECIDENTE ,LA JENTE VIVE CON MUUUCHAS LIMITACIONES Y USTED LE A D SOBRAR X ESO NO S DA CUENTA D COMO ESTA EL PAIS alas personas,""""""¿no
las engaña mejor póngase a resolver los problemas del país,trabajando",Milenio
156,Y su gobierno empedernido en matarl@s antes de nacer...... cómo pues?,Milenio
157,Así es el socialismo felicidad a costa del sufrimiento de otros,Milenio
158,Mejor que Lea el peor presidente del mundo!,Milenio
159,Hipócritas!!!,Milenio
160,Vivieron felices en pejelandia... jajajaja,Milenio
161,Payasos jajajaja 🤡🤡,Milenio
162,Payasos,Milenio
163,Ridículos..,Milenio
164,Me gustaba mas EPN; aunque no se acordara de los titulos de los libros!!!😂,Milenio
165,"Nos podría leer ""oye trump otra doblada."" 😂😂",Milenio
166,Los papas de todos,Milenio
167,El peor de los presidentes,Milenio
168,Pues ahí que llevarle la contra para ver si así trabaja,Milenio
169,RossMary Mora,Milenio
170,Suzette Carpinteyro,Milenio
171,😐,Milenio
172,"https://
www.debate.com.m
x/estados/
Revelan-nuevo-au
dio-de-Ursula-P
atricia-Salazar
-sobrina-de-AML
O-ligado-a-moch
es-20220430-015
1.html",Milenio
173,El peor presidente del Mundo,Milenio
174,"Título original ""El peor presidente del mundo""",Milenio
175,"Felicidades a la mejor pareja presidencial !!
Quienes critican es porque se sienten pequeños ante la gradeza !!",Milenio
176,Como anillo al dedo el título,Milenio
177,Imágenes que pueden olerse 🤢,Milenio
178,"Felicidades a todos los niños con cáncer les desea la zopilota beatriz y el 💩 Lopez Obrador y de regalo
Sigan con la esperanza de que algún día otros gobiernos después del de el 💩 Lopez Obrador les puedan llegar sus medicamentos oncologicos",Milenio
179,¿Y los medicamentos para los niños con cáncer? ¡...nches hipócritas!,Milenio
180,"Hdspm! Seguro les leyó: érase una vez en pejelandia""",Milenio
181,"ESTA BURLA QUE LE HACES A LOS NIÑOS, ALGUN DIA LA PAGARAS #ASESINO .",Milenio
182,Nop,Milenio
183,Wow,Milenio
184,😀,Milenio
185,Gisel Gamboa y Silvina Alvarado Rodríguez espero ver sus lindas fotos que sacan a la luna 🌒🌖🌗🤗,Milenio
186,"El cerebro todavía funciona un tiempo después de que morimos, eso podría ser, fue una reacción",Milenio
187,"Se supone que al muerto, le preparan para ser velado, le sacan todo y lavan su cuerpo, esto no puede ser posible",Milenio
188,Eso no es un juego o se muere o no!! Que se decida!,Milenio
189,Murió pero sobrevivió,Milenio
190,Que miedo!!,Milenio
191,En paz descanse,Milenio
192,Así le pasó a una HNA. Mía. Cuando la vimos x última ves. Eya. Abrió los ojos y los serró. Le dije a mi esposa viste lo que yo ví. Dijo mi esposa. Si. Y le dije que viste tu. Dijo mi esposa abrió los ojos. Yo le dije si esactamente eso ví yo,Milenio
193,Se llama catalepsia!,Milenio
194,-_-,Milenio
195,Pobre mujer RIP,Milenio
196,Enrique Javier Garza Cisneros,Milenio
197,🙏🏻🙏🏻🙏🏻,Milenio
198,Que susto,Milenio
199,Ricardo PB,Milenio
200,Leticia Hernandez,Milenio
201,P Juárez Téllez,Milenio
202,¡Qué impresión! Pobre mujer 🥺,Milenio
203,Milagros Calles,Milenio
204,"Se supone que te hacen la autopsia y te preparan en la funeraria, por lo tanto no creo que haya estado viva, más bien después de muertos los músculos siguen teniendo reacciones, como por ejemplo se escuchan ruidos en la garganta, el cuerpo expulsa gases, se mueven los brazos o piernas, los ojos se abren, etc.",Milenio
205,P Juárez Téllez,Milenio
206,😢😢,Milenio
207,Negligencia medica al declararla muerta despues del accidente,Milenio
208,Esa es una reacción del cuerpo pero lo más increíble es que se supone que le hacen autopsias al menos que se aya muero en su casa,Milenio
209,Woo la impactacion que ah de a ver sentido la sra al verse en el ataúd 😖😖,Milenio
210,La mataron antes de tiempo.,Milenio
211,Se. Que es reacción del cuerpo. X ke eya. Murió. Atropeyada. Y kedo. Muy destrosada,Milenio
212,Se murió del susto,Milenio
213,Los Simpsons debieron acabar desde la 13 temporada.,Milenio
214,"Es que se mamaron la niña era buen personaje capaz, fuerte, inspirador y ahora es una especie de ser malagradecido como que los nuevos escritores ni se molestaron en ver los episodios pasados o que no han de ser ni fan de la serie.",Milenio
215,Esa serie debió acabar hace como 12 años.,Milenio
216,"Desde el episodio donde se hace vegetariana, lo es...",Milenio
217,Jajajaja y d seguro son la gente de cristal progres que se quejan 🤣🤣🤣,Milenio
218,Debió terminar la seríe al menos hace 12 años...,Milenio
219,"Esos no son fans, un fan le encanta la serie",Milenio
220,El personaje progre siempre cae mal. Otro ejemplo es Diane en BojackHorseman.,Milenio
221,La serie debió terminar hace quince años,Milenio
222,Lisa Simpson mi favorita y próxima presidente de USA,Milenio
223,Desde la temporada 15 Los Simpson perdieron originalidad.,Milenio
224,Lisa tan progre y tan necesitada de aprobación... Ya acaben la serie,Milenio
225,LA lISA DE LOS 90'S ERA CHEVERE,Milenio
226,"Estoy de acuerdo, Lisa es tan mala agradecida, ya lo había notado hace mucho",Milenio
227,"Ches....!!!! Delicados ocupense de su vida y dejen vivir ches......!!!!!
! Amargados",Milenio
228,Eso se exige desde hace como 15 temporadas. XD,Milenio
229,Todos los personajes cambiaron para mal,Milenio
230,Ya salio la generación de cristal.....,Milenio
231,Es el MILENIO 🤣🤣🤣🤣,Milenio
232,"Gracias dios. Neta Lisa tenia potencial de ser una buena “influencer”
Pero fue solo una prepotente wannabe",Milenio
233,Es marge,Milenio
234,Que mamá da esos consejos,Milenio
235,Excelente serie,Milenio
236,Esa Greta Thunberg cae mal a todos.,Milenio
237,Es la bibi de los simpson jaja,Milenio
238,Siempre lo fue,Milenio
239,Tan difícil es simplemente ver otro canal,Milenio
240,Siempre amaré el humor de los Simpson,Milenio
241,Y lo es.,Milenio
242,Desde hace muchisimo.....,Milenio
243,Puro de piel sensible se queja de los Simpson...,Milenio
244,Que cambien el canal.,Milenio
245,Los simpson terminaron hace mucho!!!,Milenio
246,Que no la vea y punto o qué cierre sus 👀 🤦‍♂️🤦‍♂️🤦‍♂️,Milenio
247,Desde un principio lisa ha sido el peor personaje pero como no si es un woke,Milenio
248,"Yo soy fan, creo que Lisa es el peor pero es necesaria y no creo que la serie deba terminar",Milenio
249,"No manchen , si bien no es la mejor , es exelente personaje , la peor la pelos azules castrante",Milenio
250,Es tan obvia que la odias,Milenio
251,Han hecho a lisa lo peor de la serie con su moralidad y falsa humildad,Milenio
252,La neta que sí es el peor personaje de la serie más por qué ha hecho en la serie más que nada,Milenio
253,La generación de cristal debería ver Padre de familia....😅,Milenio
254,Que coman caca mejor,Milenio
255,Desde hace 20 años que los Simpson no ofrecen nada bueno,Milenio
256,"Pero si es una progre, tal como son los que quieren cancelar!",Milenio
257,Ese disney hizo popo la caricatura más vista del mundo!,Milenio
258,Pues que no lo vean,Milenio
259,"Recordaran que un fan de correcaminos , una vez p2ago"" para que el coyote atrape al correcaminos ?...........",Milenio
260,Ya cállense generación de cristal,Milenio
261,Esta generación de cristal no mms,Milenio
262,La serie está muerta desde hace 12 años,Milenio
263,Confirmo,Milenio
264,Son buenos los monos,Milenio
265,Uba Rojas creo que sería lo mejor,Milenio
266,Los Simpson terminaron en la temporada 20,Milenio
267,Ivy Bulens esto es para ti 🤣,Milenio
268,Pues que pongan a Dogechoco Crypto,Milenio
269,"Fueron los guionistas los que la regaron abismalmente, al no conocer al personaje y su historia, sinceramente deberían despedirlos",Milenio
270,"Si no les gustan lo Simpson no los vean , nadie los obliga , hay muchísimas opciones en la tv ,pero eso de pedir que terminen la serie pues quienes piensan que son o que ? No tienen nada mejor que hacer más que querer estar fregando ? ...",Milenio
271,"Es como Sam en iCarly, Malcolm en Malcolm el de enmedio, Jade en Victorious, Alex en los hechiceros de waverly place , Sheldon en TBBT, Danna en Zoey 101, son esos personajes tóxicos y castrosos que necesitan la serie, aunque sea odiosa Lisa es necesaria",Milenio
272,Desde que vendieron su alma a Disney dejaron de ser los Simpsons ya no hay nada bueno,Milenio
273,La temporada 14 debió ser la última.,Milenio
274,Los Simpson son como Liverpool es parte de mi vida 😂😂,Milenio
275,"Yo creo que el peor personaje es Marge, pero si la serie debe terminar. O mas bien debio terminar en la temporada 15",Milenio
276,"debió terminar en la temporada 10
🙄🙄",Milenio
277,Hasta ahora se dan cuenta.,Milenio
278,"Exacto, aunque para mí mil veces peor Marge",Milenio
279,Confirmo,Milenio
280,"Eduardo Bautista
Yoltic LK
Diego Ceron
Concuerdo, pero creo que le da la esencia a la serie",Milenio
281,Que PE2 con los fans de cristal... Total si ko les gusta la serie vallanse a ver Disney+,Milenio
282,Astrid Carrot,Milenio
283,Abby Vidal,Milenio
284,"Top fan
Luis Garzajuarez",Milenio
285,Irving Trujillo,Milenio
286,Ivan Rosas A,Milenio
287,J Eduardo Calderon,Milenio
288,Ivan Rosas A,Milenio
289,Julian Gutierrez,Milenio
290,Antoni Overton,Milenio
291,😏,Milenio
292,Roberto Gama Cordova,Milenio
293,Felipe Cantú,Milenio
294,Lissa Valeria LM,Milenio
295,Jajajaja,Milenio
296,Alan Sanchez,Milenio
297,Fernando Alvarez,Milenio
298,LISA SE VOLVIÓ TÓXICA INSOPORTABLE,Milenio
299,La serie debió terminar desde hace más de 15 años,Milenio
300,"Lisa principalmente,
no encaja en el arquetipo de la niña genio en algunas cosas, en otras que la ""van adaptando a la época"", en otras cosas margen es el personaje más nefasto de la serie, empezó de mojigata y sumisa, solo a Bart y Homero han mantenido su esencia. De la serie podría decirse que terminó hace unos 10 años, y solo han metido capitulos de relleno de acuerdo a la situación política o social del momento",Milenio
301,Esa serie inicio cuando empezó En familia con Chabelo.,Milenio
302,Los capitulos que se basan mucho en aventuras de Lisa son aburridos,Milenio
303,"Bob esponja ,los Simpson , Malcolm todas esas series espectaculares vamos una obra de arte las primeras 5 o 6 temporadas olvidaba south park entre otras decayeron pero feo con el paso del tiempo y se entiende las ideas se acaban y si a eso le agregamos que en estos tiempos pues todos sabemos que solo quieren quedar bien echan a perder las cosas pero que geniales eran ❤️👌",Milenio
304,Los Simpsons es una serie para progres treintañeros que huelen a humedad y que viven en casa de sus padres,Milenio
305,"Lisa es el reflejo de toda la sociedad progresista odiosa, los Simpson debieron terminar hace años...",Milenio
306,Lisa siempre fue el peor personaje de la serie,Milenio
307,"Debió terminar hace diez años, ya no tiene sentido ni nada malos guionistas",Milenio
308,Lisa es el peor persona desde que progres inclusiva y de esas personas estúpidas qué creen hippies sabelotodo,Milenio
309,No hay ningun personaje PEOR que otros.. todos son necesarios..!! Si le quitan a lisa esta serie de los simpson va acabar igualita que el chavo del 8.. se acuerdan cuando quitaron a kiko y don ramon..? Los mismos capitulos “actualizados” por otros personajes como la popis o el sr barriga.. ya no daban risa..!!!! Si le quitan a lisa es igualita a un paciente enfermo con c4nc3r en el imss… gota a gota hasta ver a donde llega el reitin de audiencia..,Milenio
310,Ya los escucharon ya anunciaron el final de la serie por 3 vez,Milenio
311,Ese programa se debió haber acabado hace unos 12 años,Milenio
312,"Lisa es todo lo que se representa al día de hoy, siempre se me hizo un personaje despertarte y nefasto.",Milenio
313,Roberto! 💖,Milenio
314,Roberto... Roberto.... 🙌,Milenio
315,Laura Tristán Xavier Tapia,Milenio
316,Suertudo Roberto,Milenio
317,Todavía existe the killers? Nada más aquí han de ser famosos,Milenio
318,De lujoooo más grupos como the killers 🤘,Milenio
319,Los rubios son la gente mas hermosa del mundo,Milenio
320,"Los animalitos son un amor ,fieles ....lo que los humanos no somos",Milenio
321,"Sin duda son los seres más maravillosos que pueden existir sobre la tierra...Muchos
de nosotros somos la escoria humana que los violentan 😔🐾",Milenio
322,Ojala lo pudiera adoptar,Milenio
323,Entre más conozco a la gente más quiero a mi perrito.,Milenio
324,El amigo más fiel que él propio ser humano,Milenio
325,Adoptelo soldado.,Milenio
326,Ellos saben quien es un buen ser humano,Milenio
327,Son tan nobles solo quieren un poco de amor y ellos entregan todo.,Milenio
328,Dios mio,Milenio
329,"Que nobleza,",Milenio
330,¡¡¡Son lo mejor!!!,Milenio
331,Si saben de personas buenas y malas.,Milenio
332,Dios bendiga y cuide siempre a un ser humano que cuida ayuda y ama a un angel de 4 patas,Milenio
333,💞🐕💞,Milenio
334,Luz Mary Martinez,Milenio
335,Quién es bueno? ¿el perrito o el perrote?...,Milenio
336,Adoptalo ...!!! 🐾😉❤,Milenio
337,Ojalá lo haya adoptado.!,Milenio
338,Ellos sólo quieren amor 😢,Milenio
339,A qué hora sale por el pan😮‍💨🤭,Milenio
340,Como que con caricias de le de comer un snack o algo pues oye,Milenio
341,"Yo conozco unas perritas similares, pero ellas cobran por caricias 🤔",Milenio
342,Que hermoso peludito,Milenio
343,Sara Cruz,Milenio
344,Que Hermoso,Milenio
345,Conozco a varies que también pagan así sus cosas,Milenio
346,Hermoso😍,Milenio
347,Que hermoso Peludito!!!,Milenio
348,Si va por el Pan entonces se llama Jesús Zambrano Grijalva,Milenio
349,Así mi rocky,Milenio
350,Sara Cruz,Milenio
351,Ay mi vida mis bendiciones aeste noble perrito ke hoy refleja el ke no tienè Dios te ilumine y te proteja mi amado peluditó!!!,Milenio
352,Lindo!!!,Milenio
353,Así hay que mandar a Chester a la tienda 🤣🤣 Geralt Adriano,Milenio
354,Luis Estrada Mendez,Milenio
355,Romeo Everardo Mendoza Mijangos así manda a glizzy,Milenio
356,Tony Díaz de León,Milenio
357,Elbia Beruben,Milenio
358,Jorch Malagon,Milenio
359,Guillermo G Aragon,Milenio
360,Lulú Cazares 🤣,Milenio
361,hay que mandar al toto Jessica de Jesus,Milenio
362,Gonzalo Ramirez,Milenio
363,Katia Benito Mendoza el Benji consiguiendo una lata gratis de Sarah Torres hajajajaa,Milenio
364,Quieren comida techo y que limpie todo lo que ase,Milenio
365,Realidad: se robo el pan.,Milenio
366,Ira ese Wei tiene sus hijos cercas y nada más les anda pegándo por no estarse en paz,Milenio
367,Nunca dejaria que un animal este verva de los alimentos.,Milenio
368,"Hola, soy Fernando , dueño del chaqueta, así se llama mi perro, que sale en esa foto. Les pido por favor que Dejen de publicar su imagen con la leyenda de ""el perro del Pan, por qué nos resulta ofensivo. Por qué el PAN ya tiene su perro, Marko cortés, y mi perro el chaqueta es Obradorista. Gracias q",Milenio
369,Me muero de risa jajaja 😂 se pasaron de ojts los de las piñatas jajaja,Milenio
370,Laura Rocio Velazquez,Milenio
371,Jaime Vázquez,Milenio
372,Que el prian vuelva a tomar el poder en Mexico 🇲🇽 .que mas pueda ser que impacte hasta los animales. Ojalá y no sea Así,Milenio
373,"Alos seré humanos,ya que nosotros somos su más miedo",Milenio
374,"Los animales saben.cuando.ha
y peligro k el ser humano no lo kiera ver es otra cosa",Milenio
375,Los seres humanos somos el peor animal sobre la Tierra,Milenio
376,Un animal mmm eso suena algún movimiento inusual bajo el mar q los alboroto 🤔,Milenio
377,El animal que tienen como presidente,Milenio
378,"No es un animal a lo que temieron, es la contaminación.",Milenio
379,Eugenio Derbez quien más 😂😂,Milenio
380,No creo que algún animal yo creo algún fenómeno natural como un terremoto así como los peces remo captan esas ondas,Milenio
381,Son los primeros sensores receptores cuando algo fuerte está por ocurrir por ejemplo un sismo de gran magnitud.,Milenio
382,El pejelagarto,Milenio
383,A lo mejor por que va a caer el meteorito en el océano x eso se espantaron 0 q un se yo,Milenio
384,El Leviátan q.estaá en lo profundo del mar 😁,Milenio
385,"Escapan de la peor especie del mundo, de los humanos.",Milenio
386,ojala sea godzilla,Milenio
387,Los actores expertos ambientalistas.,Milenio
388,"Q animal no , algo va a pasar y los animales presienten",Milenio
389,Viene un tsunami 😰😰,Milenio
390,ay no manchen así es la vida en el mar así son todos los peses en su avita,Milenio
391,El peor animal que existe en la tierra es el humano de mal corazón,Milenio
392,La 4T los asustó 🥺,Milenio
393,Vieron que ya venía Karla Panini 😂😂😂😂,Milenio
394,el ser humano,Milenio
395,Los humanos....,Milenio
396,Pudo ser la contaminación,Milenio
397,Los “humanos”,Milenio
398,El ser humano que no es humano destruye todo contamina todo que más será que tristeza,Milenio
399,Vieron al jaguar 🙄,Milenio
400,El calentamiento delos océanos,Milenio
401,De un humano,Milenio
402,El ser humano Ovio 🤣🤣,Milenio
403,El pez cachucha,Milenio
